year cpi_west cpi_ost prevcpi_west prevcpi_ost
1983 61.7 - - -
1984 63.3 - 61.7 -
1985 64.6 - 63.3 -
1986 64.5 - 64.6 -
1987 64.6 - 64.5 -
1988 65.4 - 64.6 -
1989 67.3 - 65.5 -
1990 69.1 - 67.3 -
1991 71.6 60.8 69.1 -
1992 74.5 68.9 71.6 60.8
1993 77.1 76.2 74.5 68.9
1994 79.2 79.0 77.1 76.2
1995 80.5 80.5 79.2 79.0
1996 81.5 82.0 80.5 80.5
1997 83.1 83.9 81.5 82.0
1998 83.8 84.8 83.1 83.9
1999 84.4 85.1 83.8 84.8
2000 85.7 85.7 84.4 85.1
2001 87.4 87.4 85.7 85.7
2002 88.6 88.6 87.4 87.4
2003 89.6 89.6 88.6 88.6
2004 91.0 91.0 89.6 89.6
2005 92.5 92.5 91.0 91.0
2006 93.9 93.9 92.5 92.5
2007 96.1 96.1 93.9 93.9
2008 98.6 98.6 96.1 96.1
2009 98.9 98.9 98.6 98.6
2010 100.0 100.0 98.9 98.9
2011 102.1 102.1 100.0 100.0
2012 104.1 104.1 102.1 102.1
2013 105.7 105.7 104.1 104.1
