Category: All categories

Week,bitcoin: (Worldwide)
2017-02-12,4
2017-02-19,5
2017-02-26,6
2017-03-05,7
2017-03-12,6
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,9
2017-05-14,11
2017-05-21,19
2017-05-28,12
2017-06-04,12
2017-06-11,13
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,11
2017-07-30,15
2017-08-06,14
2017-08-13,20
2017-08-20,16
2017-08-27,17
2017-09-03,17
2017-09-10,21
2017-09-17,16
2017-09-24,13
2017-10-01,12
2017-10-08,18
2017-10-15,20
2017-10-22,20
2017-10-29,27
2017-11-05,29
2017-11-12,31
2017-11-19,28
2017-11-26,65
2017-12-03,90
2017-12-10,84
2017-12-17,100
2017-12-24,63
2017-12-31,47
2018-01-07,46
2018-01-14,56
2018-01-21,38
2018-01-28,40
2018-02-04,59
